Model,Repetition,Feature,Mean_Absolute_SHAP,Normalized_SHAP
XGB,4,uniq_Opnd,0.0064269578236659675,0.007827321233342007
XGB,4,total_Op,0.02028952547950515,0.024710389885455455
XGB,4,total_Opnd,0.028968833530088885,0.03528082368305885
XGB,4,branchCount,0.009820062740085025,0.011959746385012711
LGBM,4,loc,0.09092147621462973,0.27662321818825825
LGBM,4,v(g),0.01283945364226557,0.039063278932232846
LGBM,4,ev(g),0.022937693154171757,0.06978657587062816
LGBM,4,iv(g),0.023402093018342313,0.07119948501268604
LGBM,4,n,0.008959741996814369,0.02725948553061969
LGBM,4,v,0.004917552136516842,0.014961361762326434
LGBM,4,l,0.010505684409660867,0.031962923961005724
LGBM,4,d,0.011723034751051957,0.03566664043282423
LGBM,4,i,0.015145546689167564,0.04607943074404154
LGBM,4,e,0.011681229149034876,0.03553944935927672
LGBM,4,b,0.002635749145948392,0.00801911101144088
LGBM,4,t,0.0018357915678556347,0.0055852873552594455
LGBM,4,lOCode,0.011314660886305745,0.03442418708304132
LGBM,4,lOComment,0.00424232975114379,0.01290703755850767
LGBM,4,lOBlank,0.012625007429118469,0.038410839001880165
LGBM,4,locCodeAndComment,0.0024559182342888796,0.007471986090200562
LGBM,4,uniq_Op,0.01293470943765037,0.0393530890603507
LGBM,4,uniq_Opnd,0.007998632284707602,0.02433536603032296
LGBM,4,total_Op,0.015294904840347338,0.04653384409237375
LGBM,4,total_Opnd,0.028332373672256193,0.08619957253697462
LGBM,4,branchCount,0.015979876663918972,0.04861783038574827
MLP,4,loc,0.26820586109739875,0.20984298820733185
MLP,4,v(g),0.05411435615235521,0.04233881449668351
MLP,4,ev(g),0.014753628463684425,0.011543168635662278
MLP,4,iv(g),0.017917921025956716,0.014018896064259817
MLP,4,n,0.031489383071554036,0.024637143325293112
MLP,4,v,0.062149742198668735,0.048625662265254825
MLP,4,l,0.025335353428369456,0.019822259845273305
MLP,4,d,0.036322725085337154,0.028418727094754327
MLP,4,i,0.05482769398911971,0.04289692662240494
MLP,4,e,0.005313369014682177,0.004157154608505192
MLP,4,b,0.02625700428111424,0.020543355082463393
MLP,4,t,0.009020987613860084,0.0070579777404129514
MLP,4,lOCode,0.19217104344174185,0.1503537090417716
MLP,4,lOComment,0.050006783685520875,0.039125069363777326
MLP,4,lOBlank,0.04126693492836103,0.032287053325729065
MLP,4,locCodeAndComment,0.015017390218542342,0.011749534576315957
MLP,4,uniq_Op,0.05124523057325681,0.04009402430978503
MLP,4,uniq_Opnd,0.065478963460028,0.051230429122431406
MLP,4,total_Op,0.0782786397897719,0.061244834915542404
MLP,4,total_Opnd,0.10535928520768731,0.08243260290028043
MLP,4,branchCount,0.0735940938121978,0.05757966845606744
RF,5,loc,0.04158913475031276,0.18224014565240193
RF,5,v(g),0.012367564379044155,0.0541936432997206
RF,5,ev(g),0.009928633672298388,0.043506450841836596
RF,5,iv(g),0.030386403947175466,0.1331507066552841
RF,5,n,0.0059263191064938495,0.02596863973328826
RF,5,v,0.005173681091581817,0.022670642256673965
RF,5,l,0.006005950776744137,0.026317579120271956
RF,5,d,0.007809782188089085,0.034221819040372935
RF,5,i,0.008197507909460172,0.03592080105478761
RF,5,e,0.006824869741203455,0.029906014230946097
RF,5,b,0.003920485288888108,0.017179241991075442
RF,5,t,0.006577734293369192,0.02882308715685377
RF,5,lOCode,0.009991110097753943,0.043780217366271836
RF,5,lOComment,0.0033377898895229573,0.014625918987631832
RF,5,lOBlank,0.023184032275715215,0.10159051021624234
RF,5,locCodeAndComment,0.0019604201830412415,0.00859039895497363
RF,5,uniq_Op,0.007011630459193595,0.030724384236790334
RF,5,uniq_Opnd,0.008930275333727008,0.03913172724811793
RF,5,total_Op,0.0096356447542786,0.04222259765722414
RF,5,total_Opnd,0.006071747707744634,0.0266058958251277
RF,5,branchCount,0.013379891849760114,0.05862957847410691
XGB,5,loc,0.352451064446941,0.4608993595073398
XGB,5,v(g),0.011121298083744478,0.014543293185200997
XGB,5,ev(g),0.05323251075111329,0.06961201875969718
XGB,5,iv(g),0.15656010463911418,0.2047332501770122
XGB,5,n,0.0055561864263533305,0.007265810841649881
XGB,5,v,0.005263616539887153,0.006883217946108502
XGB,5,l,0.01305992245087206,0.017078427333643714
XGB,5,d,0.013286459185377074,0.01737466884451015
XGB,5,i,0.0038630234003600586,0.005051665863973729
XGB,5,e,0.015246978106636864,0.01993843444563997
XGB,5,b,0.004464418824209133,0.00583810912836742
XGB,5,t,0.0062767265268,0.00820805929624412
XGB,5,lOCode,0.0024102303704906566,0.003151852118158423
XGB,5,lOComment,0.0024092626892161205,0.003150586683819784
XGB,5,lOBlank,0.04816322292608675,0.06298292397917957
XGB,5,locCodeAndComment,0.00018667546343446398,0.00024411502818892116
