Model,Repetition_A,Repetition_B,test_position,Local_Spearman,Local_Cosine
RF,1,2,1644,0.7974025974025974,0.7266992051566873
RF,1,2,1657,0.7064935064935066,0.8412226099198924
RF,1,2,1662,0.7324675324675325,0.8723345429513563
RF,1,2,1667,0.8688311688311688,0.9335336425163476
RF,1,2,1676,0.7116883116883117,0.5753911924796221
RF,1,2,1682,0.8194805194805195,0.6642004923504853
RF,1,2,1691,0.5285714285714286,0.5580976557071257
RF,1,2,1701,0.7584415584415585,0.842080708650619
RF,1,2,1709,0.8324675324675326,0.8193319782738014
RF,1,2,1712,0.4688311688311688,0.8703142118710704
RF,1,2,1715,0.8311688311688311,0.8551536877106262
RF,1,2,1719,0.8012987012987013,0.9404682046627972
RF,1,2,1720,0.9441558441558441,0.8059930218043118
RF,1,2,1723,0.7545454545454545,0.9144886700392105
RF,1,2,1733,0.5948051948051949,0.7766992844932533
RF,1,2,1736,0.6220779220779221,0.7307770237905931
RF,1,2,1738,0.7363636363636364,0.9561626644963184
RF,1,2,1743,0.8363636363636363,0.7324416654845711
RF,1,2,1747,0.8662337662337661,0.9277475261158711
RF,1,2,1757,0.8623376623376624,0.9701451845978274
RF,1,2,1758,0.535064935064935,0.8492486826598006
RF,1,2,1759,0.8324675324675326,0.849546323283517
RF,1,2,1777,0.7753246753246753,0.7630108842369453
RF,1,2,1780,0.7688311688311688,0.8846850359713212
RF,1,3,23,0.6142857142857143,0.7494732236777221
RF,1,3,29,0.7870129870129869,0.9550349804264411
RF,1,3,30,0.3896103896103896,0.48355318658451046
RF,1,3,32,0.512987012987013,0.7374525215729892
RF,1,3,44,0.7376623376623377,0.9385754845900011
RF,1,3,49,0.877922077922078,0.9398382375973854
RF,1,3,51,0.3649350649350649,0.8251287050135565
RF,1,3,59,0.5818181818181818,0.7823279640121066
RF,1,3,65,0.6584415584415585,0.8531856244151423
RF,1,3,67,0.8012987012987013,0.9695290094715922
RF,1,3,69,0.6051948051948052,0.6014132270986008
RF,1,3,70,0.8415584415584414,0.8825226411588145
RF,1,3,71,0.6012987012987013,0.7920824060766616
RF,1,3,73,0.625974025974026,0.23772682539830103
RF,1,3,76,0.838961038961039,0.7753107298524348
RF,1,3,78,0.5220779220779221,0.8597336292647376
RF,1,3,99,0.8948051948051948,0.8852761425008528
RF,1,3,109,0.6103896103896104,0.5896925633998293
RF,1,3,111,0.696103896103896,0.7442932401850181
RF,1,3,115,0.6142857142857143,0.9331385047947767
RF,1,3,123,0.6311688311688312,0.9166639078117709
RF,1,3,124,0.7831168831168831,0.8664186633840902
RF,1,3,135,0.7545454545454545,0.8489119413042125
RF,1,3,162,0.6688311688311688,0.8026257460341257
RF,1,3,168,0.5428571428571428,0.5757256340986808
RF,1,3,173,0.374025974025974,0.5174895722057866
RF,1,3,185,0.4168831168831169,0.7917289636562401
RF,1,3,188,0.7038961038961039,0.7280689120047069
RF,1,3,196,0.6623376623376622,0.9229786328359751
RF,1,3,203,0.5194805194805194,0.9004414059268072
RF,1,3,210,0.8415584415584414,0.9371665714857345
RF,1,3,212,0.5337662337662338,0.7170288069201785
RF,1,3,220,0.438961038961039,0.7108644623705525
RF,1,3,233,0.5753246753246753,0.7707793667665865
RF,1,3,237,0.7701298701298702,0.920310869651948
RF,1,3,239,0.5662337662337662,0.7740534323271201
RF,1,3,240,0.6,0.9464893607291633
RF,1,3,247,0.37272727272727274,0.45955685470697794
RF,1,3,251,0.8818181818181818,0.8529154175591619
RF,1,3,254,0.6506493506493506,0.7796315254170088
RF,1,3,259,0.6675324675324676,0.6928256541299302
RF,1,3,261,0.8584415584415584,0.8869100655954661
RF,1,3,270,0.8077922077922077,0.9650573371997319
RF,1,3,275,0.14285714285714285,0.3083945038259343
RF,1,3,289,0.8402597402597403,0.9647363376328323
RF,1,3,297,0.7675324675324675,0.6637339362452448
RF,1,3,298,0.5714285714285714,0.6674556667014182
RF,1,3,303,0.5987012987012986,0.6848596868998734
RF,1,3,305,0.8246753246753247,0.7550603950081195
RF,1,3,316,0.5909090909090908,0.6149099356678513
RF,1,3,322,0.6935064935064935,0.7190326907504797
RF,1,3,324,0.851948051948052,0.9682686360322137
RF,1,3,331,0.7857142857142857,0.846134016204042
RF,1,3,332,0.638961038961039,0.7796718481914127
RF,1,3,339,0.5012987012987012,0.8243960000098993
RF,1,3,342,0.35974025974025975,0.7832329301762521
RF,1,3,344,0.509090909090909,0.6902062786007573
